Dataset,Accuracy,Precision,Recall,F1 Score
Validation,0.8567607554735204,0.8605147979433811,0.8567607554735204,0.8575348227059721
Test,0.6831471225952574,0.7114136027177815,0.6831471225952574,0.6899831133591375
