Dataset,Accuracy,Precision,Recall,F1 Score
Validation,0.8567607554735204,0.8605147979433811,0.8567607554735204,0.8575348227059721
Test,0.6822356336919444,0.710243338243737,0.6822356336919444,0.6890954166878782
